,appearances,goals,wins,losses,goals_per_game,att_pen_goal,att_freekick_goal,total_scoring_att,ontarget_scoring_att,goal_assist,total_pass,total_pass_per_game,big_chance_created,total_cross,cross_accuracy,total_through_ball,accurate_long_balls,tackle_success,total_tackle,blocked_scoring_att,interception,total_clearance,ball_recovery,duel_won,duel_lost,won_contest,aerial_won,aerial_lost,error_lead_to_goal,Year
0,17,5,11,2,0.29,0,0,0,0,2,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1994/95
1,26,10,14,5,0.38,0,0,0,0,1,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1995/96
2,24,3,13,4,0.13,0,0,0,0,0,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1996/97
3,31,8,16,7,0.26,0,0,0,0,5,57,1.84,0,0,0%,0,4,0%,1,0,4,1,8,7,11,3,1,2,0,1997/98
4,31,6,18,2,0.19,0,0,0,0,7,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1998/99
5,31,9,25,3,0.29,0,0,0,0,5,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1999/00
6,32,6,20,4,0.19,0,0,0,0,5,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2000/01
7,35,8,21,9,0.23,0,0,2,0,5,80,2.29,0,0,0%,0,13,67%,3,1,2,0,8,10,7,2,0,1,0,2001/02
8,33,14,24,3,0.42,0,0,0,0,3,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2002/03
9,28,9,18,5,0.32,0,0,0,0,3,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2003/04
10,33,9,18,5,0.27,0,0,0,0,3,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2004/05
11,20,2,13,2,0.10,0,0,0,0,2,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2005/06
12,30,6,21,5,0.20,0,0,37,17,1,"2,071",69.03,0,27,19%,0,247,76%,95,11,25,26,0,138,125,9,2,5,0,2006/07
13,24,1,17,2,0.04,0,0,29,5,4,"1,592",66.33,0,7,29%,3,223,67%,57,8,33,15,171,84,99,9,1,6,0,2007/08
14,21,2,15,3,0.10,0,0,31,8,2,"1,117",53.19,0,1,0%,10,146,58%,43,10,28,13,112,61,51,5,6,4,0,2008/09
15,28,3,20,4,0.11,0,0,41,7,3,"1,616",57.71,0,10,0%,13,188,75%,80,15,39,10,183,120,84,16,6,5,1,2009/10
16,22,1,12,3,0.05,0,0,20,5,3,"1,357",61.68,2,3,100%,12,184,68%,28,7,35,8,129,44,75,6,4,5,0,2010/11
17,17,4,14,1,0.24,0,0,21,7,0,"1,137",66.88,3,0,0%,4,162,64%,39,6,24,5,91,57,50,4,4,3,0,2011/12
18,16,1,11,3,0.06,0,0,12,4,1,856,53.50,0,0,0%,2,127,78%,27,6,7,4,59,43,40,2,3,1,0,2012/13
