,appearances,goals,wins,losses,goals_per_game,att_pen_goal,att_freekick_goal,total_scoring_att,ontarget_scoring_att,goal_assist,total_pass,total_pass_per_game,big_chance_created,total_cross,cross_accuracy,total_through_ball,accurate_long_balls,tackle_success,total_tackle,blocked_scoring_att,interception,total_clearance,ball_recovery,duel_won,duel_lost,won_contest,aerial_won,aerial_lost,error_lead_to_goal,Year
0,12,0,5,5,0.00,0,0,0,0,0,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1998/99
1,29,1,14,8,0.03,0,0,0,0,3,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1999/00
2,33,7,17,7,0.21,0,0,0,0,2,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2000/01
3,28,3,16,5,0.11,0,0,0,0,8,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2001/02
4,34,5,17,9,0.15,0,0,0,0,7,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2002/03
5,34,4,14,8,0.12,0,0,0,0,7,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2003/04
6,30,7,12,12,0.23,0,0,0,0,4,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2004/05
7,32,10,21,4,0.31,0,0,0,0,5,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2005/06
8,36,7,20,8,0.19,1,0,99,25,2,"1,756",48.78,0,218,20%,0,158,83%,90,21,32,42,0,188,159,25,30,20,0,2006/07
9,34,11,18,4,0.32,3,1,119,45,8,"1,653",48.62,0,220,27%,19,168,69%,85,30,67,75,205,192,148,38,30,29,1,2007/08
10,31,16,22,2,0.52,4,1,133,41,9,"1,709",55.13,0,221,24%,60,125,69%,54,34,38,34,173,150,136,31,33,39,0,2008/09
11,33,9,16,9,0.27,2,0,104,32,7,"1,702",51.58,0,319,18%,39,143,67%,51,38,43,27,139,146,171,35,29,52,1,2009/10
12,21,4,9,8,0.19,1,1,50,13,5,"1,256",59.81,12,148,22%,23,117,67%,58,15,37,36,137,115,100,17,18,18,0,2010/11
13,18,5,5,7,0.28,0,1,31,11,2,895,49.72,6,105,24%,12,82,71%,24,10,17,18,76,49,47,6,10,5,0,2011/12
14,36,9,14,9,0.25,4,0,93,32,9,"2,387",66.31,4,212,24%,20,303,75%,88,34,51,60,216,162,131,19,38,26,0,2012/13
15,34,13,24,4,0.38,10,2,60,31,13,"2,219",65.26,10,169,28%,18,257,72%,98,12,48,90,232,174,119,15,43,43,1,2013/14
16,29,9,11,10,0.31,4,1,54,21,1,"1,531",52.79,2,104,28%,4,154,74%,50,13,23,53,152,95,86,5,19,24,0,2014/15
