appearances,goals,wins,losses,goals_per_game,att_pen_goal,att_freekick_goal,total_scoring_att,ontarget_scoring_att,goal_assist,total_pass,total_pass_per_game,big_chance_created,total_cross,cross_accuracy,total_through_ball,accurate_long_balls,tackle_success,total_tackle,blocked_scoring_att,interception,total_clearance,ball_recovery,duel_won,duel_lost,won_contest,aerial_won,aerial_lost,error_lead_to_goal,year,name,line_aplpha,fill_alpha,fill_color
2,0,1,0,0.00,0,0,0,0,0,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1995/96,Frank Lampard,0.5,0.8,#496cc3
13,0,4,7,0.00,0,0,0,0,0,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1996/97,Frank Lampard,0.5,0.8,#496cc3
31,5,11,13,0.16,0,0,0,0,2,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1997/98,Frank Lampard,0.5,0.8,#496cc3
38,5,16,13,0.13,0,0,0,0,3,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1998/99,Frank Lampard,0.5,0.8,#496cc3
34,7,15,10,0.21,0,0,0,0,3,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,1999/00,Frank Lampard,0.5,0.8,#496cc3
30,7,9,13,0.23,0,0,0,0,3,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2000/01,Frank Lampard,0.5,0.8,#496cc3
37,5,17,8,0.14,0,0,0,0,3,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2001/02,Frank Lampard,0.5,0.8,#496cc3
38,6,19,9,0.16,0,0,0,0,3,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2002/03,Frank Lampard,0.5,0.8,#496cc3
38,10,24,7,0.26,0,0,0,0,5,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2003/04,Frank Lampard,0.5,0.8,#496cc3
38,13,29,1,0.34,0,0,0,0,18,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2004/05,Frank Lampard,0.5,0.8,#496cc3
35,16,27,4,0.46,0,0,0,0,8,0,0.00,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,2005/06,Frank Lampard,0.5,0.8,#496cc3
37,11,24,3,0.30,3,2,137,42,10,"1,851",50.03,0,227,29%,0,218,74%,98,42,20,63,0,181,146,26,12,6,0,2006/07,Frank Lampard,0.5,0.8,#496cc3
24,10,17,1,0.42,4,0,69,24,8,"1,373",57.21,0,121,29%,13,142,78%,50,19,35,35,137,94,81,19,3,8,0,2007/08,Frank Lampard,0.5,0.8,#496cc3
37,12,24,5,0.32,2,1,175,57,10,"2,315",62.57,0,245,31%,52,227,67%,69,65,39,44,217,143,127,26,9,15,1,2008/09,Frank Lampard,0.5,0.8,#496cc3
